Metric,Engine A,Engine B,Mean A,Mean B,Test Used,Statistic,p-value,Effect Size,Percentage Change (%),Effect Size (non normal),Effect Size (Cohen's d)
Total Energy (J),Qwant,Qwant,13.008162434895834,13.008162434895834,Welch t-test,0.0,1.0,0.0,0.0,,
Average Power (W),Bing,Bing,5.747099378982114,5.747099378982114,Welch t-test,0.0,1.0,,0.0,,0.0
Average Power (W),Bing,DuckDuckGo,5.747099378982114,7.74194169273874,Mann-Whitney U,119.0,1.027733258891446e-06,,34.71041967800353,0.1322222222222222,
Average Power (W),Bing,Mojeek,5.747099378982114,4.372370103840137,Mann-Whitney U,661.0,0.0018574800226340267,,-23.92040200608919,0.7344444444444445,
Average Power (W),Bing,Startpage,5.747099378982114,3.0188218640000257,Mann-Whitney U,794.0,3.805262810100767e-07,,-47.472252262763234,0.8822222222222222,
Average Power (W),Bing,OceanHero,5.747099378982114,4.958121786236343,Mann-Whitney U,604.0,0.02324344705367121,,-13.728274747277974,0.6711111111111111,
Average Power (W),Bing,Ecosia,5.747099378982114,7.7343333954462885,Mann-Whitney U,143.0,5.858675152587995e-06,,34.57803468183875,0.15888888888888889,
Average Power (W),Bing,You.com,5.747099378982114,9.372036312915178,Mann-Whitney U,83.0,6.010385631570395e-08,,63.07419960736937,0.09222222222222222,
Average Power (W),Bing,Google,5.747099378982114,2.439375790867424,Welch t-test,2.641631203574847,0.01255494875669837,,-57.55466140382857,,0.6820662438844823
Average Power (W),Bing,Swisscows,5.747099378982114,4.644908038189548,Welch t-test,0.7709727657650063,0.4444608087295041,,-19.17821962194394,,0.1990643121458227
Average Power (W),Bing,Brave Search,5.747099378982114,5.748318104548938,Welch t-test,-0.0008418454358459802,0.9993316684966012,,0.021205924701444286,,-0.00021736355687414701
Average Power (W),Bing,Qwant,5.747099378982114,5.681988480552119,Mann-Whitney U,346.0,0.12597019317097233,,-1.1329349666044413,0.3844444444444444,
Average Power (W),DuckDuckGo,Bing,7.74194169273874,5.747099378982114,Mann-Whitney U,781.0,1.027733258891446e-06,,-25.766692555016434,0.8677777777777778,
Average Power (W),DuckDuckGo,DuckDuckGo,7.74194169273874,7.74194169273874,Mann-Whitney U,450.0,1.0,,0.0,0.5,
Average Power (W),DuckDuckGo,Mojeek,7.74194169273874,4.372370103840137,Mann-Whitney U,806.0,1.473317499078265e-07,,-43.523598118272645,0.8955555555555555,
Average Power (W),DuckDuckGo,Startpage,7.74194169273874,3.0188218640000257,Mann-Whitney U,822.0,3.964765355918728e-08,,-61.00691552829163,0.9133333333333333,
Average Power (W),DuckDuckGo,OceanHero,7.74194169273874,4.958121786236343,Mann-Whitney U,719.0,7.19878817481734e-05,,-35.957644955055336,0.7988888888888889,
Average Power (W),DuckDuckGo,Ecosia,7.74194169273874,7.7343333954462885,Mann-Whitney U,432.0,0.795845542466455,,-0.09827376121402846,0.48,
Average Power (W),DuckDuckGo,You.com,7.74194169273874,9.372036312915178,Mann-Whitney U,241.0,0.0020523338723804135,,21.05537195798469,0.2677777777777778,
Average Power (W),DuckDuckGo,Google,7.74194169273874,2.439375790867424,Mann-Whitney U,856.0,2.0337965170597153e-09,,-68.49142130383979,0.9511111111111111,
Average Power (W),DuckDuckGo,Swisscows,7.74194169273874,4.644908038189548,Mann-Whitney U,799.0,2.572118175546942e-07,,-40.00331928944825,0.8877777777777778,
Average Power (W),DuckDuckGo,Brave Search,7.74194169273874,5.748318104548938,Mann-Whitney U,716.0,8.663432943179647e-05,,-25.750950695736258,0.7955555555555556,
Average Power (W),DuckDuckGo,Qwant,7.74194169273874,5.681988480552119,Mann-Whitney U,632.0,0.00728836046503409,,-26.60770765192763,0.7022222222222222,
Average Power (W),Mojeek,Bing,4.372370103840137,5.747099378982114,Mann-Whitney U,239.0,0.0018574800226340267,,31.44128338848966,0.26555555555555554,
Average Power (W),Mojeek,DuckDuckGo,4.372370103840137,7.74194169273874,Mann-Whitney U,94.0,1.473317499078265e-07,,77.06510448278836,0.10444444444444445,
Average Power (W),Mojeek,Mojeek,4.372370103840137,4.372370103840137,Mann-Whitney U,450.0,1.0,,0.0,0.5,
Average Power (W),Mojeek,Startpage,4.372370103840137,3.0188218640000257,Mann-Whitney U,776.0,1.4918040168154107e-06,,-30.95685423910765,0.8622222222222222,
Average Power (W),Mojeek,OceanHero,4.372370103840137,4.958121786236343,Mann-Whitney U,376.0,0.27718918977304785,,13.396662873569559,0.4177777777777778,
Average Power (W),Mojeek,Ecosia,4.372370103840137,7.7343333954462885,Mann-Whitney U,106.0,3.805262810100767e-07,,76.89109594481558,0.11777777777777777,
Average Power (W),Mojeek,You.com,4.372370103840137,9.372036312915178,Mann-Whitney U,61.0,9.26028739563309e-09,,114.34682083943369,0.06777777777777778,
Average Power (W),Mojeek,Google,4.372370103840137,2.439375790867424,Mann-Whitney U,794.0,3.805262810100767e-07,,-44.20930221060232,0.8822222222222222,
Average Power (W),Mojeek,Swisscows,4.372370103840137,4.644908038189548,Mann-Whitney U,347.0,0.12967022490828164,,6.233185386343396,0.38555555555555554,
Average Power (W),Mojeek,Brave Search,4.372370103840137,5.748318104548938,Mann-Whitney U,199.0,0.00021264638274527632,,31.46915672807164,0.22111111111111112,
Average Power (W),Mojeek,Qwant,4.372370103840137,5.681988480552119,Mann-Whitney U,196.0,0.00017835554843874464,,29.95213912842783,0.21777777777777776,
Average Power (W),Startpage,Bing,3.0188218640000257,5.747099378982114,Mann-Whitney U,106.0,3.805262810100767e-07,,90.37557159358326,0.11777777777777777,
Average Power (W),Startpage,DuckDuckGo,3.0188218640000257,7.74194169273874,Mann-Whitney U,78.0,3.964765355918728e-08,,156.45573145811406,0.08666666666666667,
Average Power (W),Startpage,Mojeek,3.0188218640000257,4.372370103840137,Mann-Whitney U,124.0,1.4918040168154107e-06,,44.836969547008,0.13777777777777778,
Average Power (W),Startpage,Startpage,3.0188218640000257,3.0188218640000257,Mann-Whitney U,450.0,1.0,,0.0,0.5,
Average Power (W),Startpage,OceanHero,3.0188218640000257,4.958121786236343,Mann-Whitney U,110.0,5.185675139382169e-07,,64.24029007351527,0.12222222222222222,
Average Power (W),Startpage,Ecosia,3.0188218640000257,7.7343333954462885,Mann-Whitney U,83.0,6.010385631570395e-08,,156.20370276496124,0.09222222222222222,
Average Power (W),Startpage,You.com,3.0188218640000257,9.372036312915178,Mann-Whitney U,75.0,3.0810543518021204e-08,,210.45343962419034,0.08333333333333333,
Average Power (W),Startpage,Google,3.0188218640000257,2.439375790867424,Mann-Whitney U,291.0,0.01911239675982854,,-19.194444032706816,0.3233333333333333,
Average Power (W),Startpage,Swisscows,3.0188218640000257,4.644908038189548,Mann-Whitney U,111.0,5.599907101277584e-07,,53.864926366834744,0.12333333333333334,
Average Power (W),Startpage,Brave Search,3.0188218640000257,5.748318104548938,Mann-Whitney U,100.0,2.3768200504545059e-07,,90.41594249394535,0.1111111111111111,
Average Power (W),Startpage,Qwant,3.0188218640000257,5.681988480552119,Mann-Whitney U,97.0,1.8730978430511631e-07,,88.21874017512648,0.10777777777777778,
Average Power (W),OceanHero,Bing,4.958121786236343,5.747099378982114,Mann-Whitney U,296.0,0.02324344705367121,,15.912832051361836,0.3288888888888889,
Average Power (W),OceanHero,DuckDuckGo,4.958121786236343,7.74194169273874,Mann-Whitney U,181.0,7.19878817481734e-05,,56.14666251704892,0.2011111111111111,
Average Power (W),OceanHero,Mojeek,4.958121786236343,4.372370103840137,Mann-Whitney U,524.0,0.27718918977304785,,-11.813983351966918,0.5822222222222222,
Average Power (W),OceanHero,Startpage,4.958121786236343,3.0188218640000257,Mann-Whitney U,790.0,5.185675139382169e-07,,-39.113599984973725,0.8777777777777778,
Average Power (W),OceanHero,OceanHero,4.958121786236343,4.958121786236343,Mann-Whitney U,450.0,1.0,,0.0,0.5,
Average Power (W),OceanHero,Ecosia,4.958121786236343,7.7343333954462885,Mann-Whitney U,187.0,0.00010406563331101462,,55.993211318783246,0.20777777777777778,
Average Power (W),OceanHero,You.com,4.958121786236343,9.372036312915178,Mann-Whitney U,106.0,3.805262810100767e-07,,89.02392310999264,0.11777777777777777,
Average Power (W),OceanHero,Google,4.958121786236343,2.439375790867424,Mann-Whitney U,816.0,6.527736457495676e-08,,-50.80040595938794,0.9066666666666666,
Average Power (W),OceanHero,Swisscows,4.958121786236343,4.644908038189548,Mann-Whitney U,418.0,0.641423522520332,,-6.3171854494633655,0.46444444444444444,
Average Power (W),OceanHero,Brave Search,4.958121786236343,5.748318104548938,Mann-Whitney U,271.0,0.00831460908674944,,15.93741243924596,0.3011111111111111,
Average Power (W),OceanHero,Qwant,4.958121786236343,5.681988480552119,Mann-Whitney U,263.0,0.005828168439115262,,14.599615046270479,0.2922222222222222,
Average Power (W),Ecosia,Bing,7.7343333954462885,5.747099378982114,Mann-Whitney U,757.0,5.858675152587995e-06,,-25.693668928652475,0.8411111111111111,
Average Power (W),Ecosia,DuckDuckGo,7.7343333954462885,7.74194169273874,Mann-Whitney U,468.0,0.795845542466455,,0.09837043353898976,0.52,
Average Power (W),Ecosia,Mojeek,7.7343333954462885,4.372370103840137,Mann-Whitney U,794.0,3.805262810100767e-07,,-43.46804203689437,0.8822222222222222,
Average Power (W),Ecosia,Startpage,7.7343333954462885,3.0188218640000257,Mann-Whitney U,817.0,6.010385631570395e-08,,-60.96855786204658,0.9077777777777778,
Average Power (W),Ecosia,OceanHero,7.7343333954462885,4.958121786236343,Mann-Whitney U,713.0,0.00010406563331101462,,-35.894646212749045,0.7922222222222223,
Average Power (W),Ecosia,Ecosia,7.7343333954462885,7.7343333954462885,Mann-Whitney U,450.0,1.0,,0.0,0.5,
Average Power (W),Ecosia,You.com,7.7343333954462885,9.372036312915178,Mann-Whitney U,229.0,0.001114256468355765,,21.174454652201995,0.2544444444444444,
Average Power (W),Ecosia,Google,7.7343333954462885,2.439375790867424,Mann-Whitney U,848.0,4.18250049245679e-09,,-68.4604261783744,0.9422222222222222,
Average Power (W),Ecosia,Swisscows,7.7343333954462885,4.644908038189548,Mann-Whitney U,779.0,1.1936801001725348e-06,,-39.94430029452427,0.8655555555555555,
Average Power (W),Ecosia,Brave Search,7.7343333954462885,5.748318104548938,Mann-Whitney U,690.0,0.0003988101938466105,,-25.677911584037076,0.7666666666666667,
Average Power (W),Ecosia,Qwant,7.7343333954462885,5.681988480552119,Mann-Whitney U,624.0,0.010314672402337998,,-26.53551133576063,0.6933333333333334,
Average Power (W),You.com,Bing,9.372036312915178,5.747099378982114,Mann-Whitney U,817.0,6.010385631570395e-08,,-38.678221177373196,0.9077777777777778,
Average Power (W),You.com,DuckDuckGo,9.372036312915178,7.74194169273874,Mann-Whitney U,659.0,0.0020523338723804135,,-17.39317439402234,0.7322222222222222,
Average Power (W),You.com,Mojeek,9.372036312915178,4.372370103840137,Mann-Whitney U,839.0,9.26028739563309e-09,,-53.346637189030396,0.9322222222222222,
Average Power (W),You.com,Startpage,9.372036312915178,3.0188218640000257,Mann-Whitney U,825.0,3.0810543518021204e-08,,-67.78905071206431,0.9166666666666666,
Average Power (W),You.com,OceanHero,9.372036312915178,4.958121786236343,Mann-Whitney U,794.0,3.805262810100767e-07,,-47.09664345406152,0.8822222222222222,
Average Power (W),You.com,Ecosia,9.372036312915178,7.7343333954462885,Mann-Whitney U,671.0,0.001114256468355765,,-17.474355228564846,0.7455555555555555,
Average Power (W),You.com,You.com,9.372036312915178,9.372036312915178,Mann-Whitney U,450.0,1.0,,0.0,0.5,
Average Power (W),You.com,Google,9.372036312915178,2.439375790867424,Mann-Whitney U,858.0,1.6947244610469585e-09,,-73.9717633455407,0.9533333333333334,
Average Power (W),You.com,Swisscows,9.372036312915178,4.644908038189548,Mann-Whitney U,820.0,4.685631959716094e-08,,-50.438646596059264,0.9111111111111111,
Average Power (W),You.com,Brave Search,9.372036312915178,5.748318104548938,Mann-Whitney U,770.0,2.3167867652540457e-06,,-38.66521732713048,0.8555555555555555,
Average Power (W),You.com,Qwant,9.372036312915178,5.681988480552119,Mann-Whitney U,762.0,4.117756415821909e-06,,-39.372957051798565,0.8466666666666667,
Average Power (W),Google,Bing,2.439375790867424,5.747099378982114,Welch t-test,-2.641631203574847,0.01255494875669837,,135.5971310569778,,-0.6820662438844823
Average Power (W),Google,DuckDuckGo,2.439375790867424,7.74194169273874,Mann-Whitney U,44.0,2.0337965170597153e-09,,217.37388399619078,0.04888888888888889,
Average Power (W),Google,Mojeek,2.439375790867424,4.372370103840137,Mann-Whitney U,106.0,3.805262810100767e-07,,79.24135019333589,0.11777777777777777,
Average Power (W),Google,Startpage,2.439375790867424,3.0188218640000257,Mann-Whitney U,609.0,0.01911239675982854,,23.753866677776404,0.6766666666666666,
Average Power (W),Google,OceanHero,2.439375790867424,4.958121786236343,Mann-Whitney U,84.0,6.527736457495676e-08,,103.25370960877132,0.09333333333333334,
Average Power (W),Google,Ecosia,2.439375790867424,7.7343333954462885,Mann-Whitney U,52.0,4.18250049245679e-09,,217.06198874327666,0.057777777777777775,
Average Power (W),Google,You.com,2.439375790867424,9.372036312915178,Mann-Whitney U,42.0,1.6947244610469585e-09,,284.1981357690916,0.04666666666666667,
Average Power (W),Google,Google,2.439375790867424,2.439375790867424,Welch t-test,0.0,1.0,,0.0,,0.0
Average Power (W),Google,Swisscows,2.439375790867424,4.644908038189548,Welch t-test,-2.7047700290355134,0.010139058290300672,,90.4137958398715,,-0.6983686185183663
Average Power (W),Google,Brave Search,2.439375790867424,5.748318104548938,Welch t-test,-3.9080111644418403,0.0003749447405207477,,135.64709160718851,,-1.0090441437783935
Average Power (W),Google,Qwant,2.439375790867424,5.681988480552119,Mann-Whitney U,60.0,8.48477290014798e-09,,132.9279687789164,0.06666666666666667,
Average Power (W),Swisscows,Bing,4.644908038189548,5.747099378982114,Welch t-test,-0.7709727657650063,0.4444608087295041,,23.729023949033206,,-0.1990643121458227
Average Power (W),Swisscows,DuckDuckGo,4.644908038189548,7.74194169273874,Mann-Whitney U,101.0,2.572118175546942e-07,,66.67588742524012,0.11222222222222222,
Average Power (W),Swisscows,Mojeek,4.644908038189548,4.372370103840137,Mann-Whitney U,553.0,0.12967022490828164,,-5.867455977785912,0.6144444444444445,
Average Power (W),Swisscows,Startpage,4.644908038189548,3.0188218640000257,Mann-Whitney U,789.0,5.599907101277584e-07,,-35.00793042230657,0.8766666666666667,
Average Power (W),Swisscows,OceanHero,4.644908038189548,4.958121786236343,Mann-Whitney U,482.0,0.641423522520332,,6.743163599184562,0.5355555555555556,
Average Power (W),Swisscows,Ecosia,4.644908038189548,7.7343333954462885,Mann-Whitney U,121.0,1.1936801001725348e-06,,66.51208876163048,0.13444444444444445,
Average Power (W),Swisscows,You.com,4.644908038189548,9.372036312915178,Mann-Whitney U,80.0,4.685631959716094e-08,,101.77011548689627,0.08888888888888889,
Average Power (W),Swisscows,Google,4.644908038189548,2.439375790867424,Welch t-test,2.7047700290355134,0.010139058290300672,,-47.48279684309481,,0.6983686185183663
Average Power (W),Swisscows,Swisscows,4.644908038189548,4.644908038189548,Welch t-test,0.0,1.0,,0.0,,0.0
Average Power (W),Swisscows,Brave Search,4.644908038189548,5.748318104548938,Welch t-test,-1.0102990554159645,0.31655628530217356,,23.75526183268567,,-0.2608580944210076
Average Power (W),Swisscows,Qwant,4.644908038189548,5.681988480552119,Mann-Whitney U,230.0,0.0011737583520143354,,22.327254572876225,0.25555555555555554,
Average Power (W),Brave Search,Bing,5.748318104548938,5.747099378982114,Welch t-test,0.0008418454358459802,0.9993316684966012,,-0.021201428742429536,,0.00021736355687414701
Average Power (W),Brave Search,DuckDuckGo,5.748318104548938,7.74194169273874,Mann-Whitney U,184.0,8.663432943179647e-05,,34.681859144366875,0.20444444444444446,
Average Power (W),Brave Search,Mojeek,5.748318104548938,4.372370103840137,Mann-Whitney U,701.0,0.00021264638274527632,,-23.936531967845397,0.7788888888888889,
Average Power (W),Brave Search,Startpage,5.748318104548938,3.0188218640000257,Mann-Whitney U,800.0,2.3768200504545059e-07,,-47.48338889576974,0.8888888888888888,
Average Power (W),Brave Search,OceanHero,5.748318104548938,4.958121786236343,Mann-Whitney U,629.0,0.00831460908674944,,-13.746565585632295,0.6988888888888889,
Average Power (W),Brave Search,Ecosia,5.748318104548938,7.7343333954462885,Mann-Whitney U,210.0,0.0003988101938466105,,34.54950221571272,0.23333333333333334,
Average Power (W),Brave Search,You.com,5.748318104548938,9.372036312915178,Mann-Whitney U,130.0,2.3167867652540457e-06,,63.03962554714233,0.14444444444444443,
Average Power (W),Brave Search,Google,5.748318104548938,2.439375790867424,Welch t-test,3.9080111644418403,0.0003749447405207477,,-57.563660422045515,,1.0090441437783935
Average Power (W),Brave Search,Swisscows,5.748318104548938,4.644908038189548,Welch t-test,1.0102990554159645,0.31655628530217356,,-19.195354994119157,,0.2608580944210076
Average Power (W),Brave Search,Brave Search,5.748318104548938,5.748318104548938,Welch t-test,0.0,1.0,,0.0,,0.0
Average Power (W),Brave Search,Qwant,5.748318104548938,5.681988480552119,Mann-Whitney U,413.0,0.5894511694056184,,-1.1538961969472283,0.4588888888888889,
Average Power (W),Qwant,Bing,5.681988480552119,5.747099378982114,Mann-Whitney U,554.0,0.12597019317097233,,1.1459174662682217,0.6155555555555555,
Average Power (W),Qwant,DuckDuckGo,5.681988480552119,7.74194169273874,Mann-Whitney U,268.0,0.00728836046503409,,36.254089905977,0.29777777777777775,
Average Power (W),Qwant,Mojeek,5.681988480552119,4.372370103840137,Mann-Whitney U,704.0,0.00017835554843874464,,-23.048592604410324,0.7822222222222223,
Average Power (W),Qwant,Startpage,5.681988480552119,3.0188218640000257,Mann-Whitney U,803.0,1.8730978430511631e-07,,-46.87032762680492,0.8922222222222222,
Average Power (W),Qwant,OceanHero,5.681988480552119,4.958121786236343,Mann-Whitney U,637.0,0.005828168439115262,,-12.7396719791561,0.7077777777777777,
Average Power (W),Qwant,Ecosia,5.681988480552119,7.7343333954462885,Mann-Whitney U,276.0,0.010314672402337998,,36.12018788701845,0.30666666666666664,
Average Power (W),Qwant,You.com,5.681988480552119,9.372036312915178,Mann-Whitney U,138.0,4.117756415821909e-06,,64.94289534364732,0.15333333333333332,
Average Power (W),Qwant,Google,5.681988480552119,2.439375790867424,Mann-Whitney U,840.0,8.48477290014798e-09,,-57.06827285523835,0.9333333333333333,
Average Power (W),Qwant,Swisscows,5.681988480552119,4.644908038189548,Mann-Whitney U,670.0,0.0011737583520143354,,-18.252068724042854,0.7444444444444445,
Average Power (W),Qwant,Brave Search,5.681988480552119,5.748318104548938,Mann-Whitney U,487.0,0.5894511694056184,,1.1673663933647036,0.5411111111111111,
Average Power (W),Qwant,Qwant,5.681988480552119,5.681988480552119,Mann-Whitney U,450.0,1.0,,0.0,0.5,
